collect_time,station_id,station_name,temperature,humidity,pressure,wind_speed,wind_direction,weather_code,sample_seq
2026-06-23T00:00:13.027+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:14.275+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:15.975+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:18.806+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:19.042+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:19.862+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:21.209+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:22.460+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:24.251+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:25.523+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:26.797+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:28.424+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:29.731+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:31.089+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:32.527+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:33.667+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:00:34.992+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,
2026-06-23T00:01:03.377+08:00,tangshan,唐山,26.0,32.0,1000.3,2.83,159.0,3,1
2026-06-23T00:01:04.570+08:00,tangshan,唐山,25.0,32.0,1000.3,2.83,159.0,3,2
2026-06-23T00:01:05.814+08:00,tangshan,唐山,25.0,32.0,1000.3,2.83,159.0,3,3
2026-06-23T00:01:07.437+08:00,tangshan,唐山,25.0,32.0,1000.3,2.83,159.0,3,4
2026-06-23T00:01:08.727+08:00,tangshan,唐山,25.0,32.0,1000.3,2.83,159.0,3,5
2026-06-23T00:05:19.983+08:00,tangshan,唐山,24.0,33.0,1000.3,2.83,159.0,3,10
2026-06-23T00:05:23.658+08:00,tangshan,唐山,24.0,33.0,1000.3,2.83,159.0,3,11
2026-06-23T00:05:23.658+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,12
2026-06-23T00:05:24.446+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,13
2026-06-23T00:05:25.751+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,14
2026-06-23T00:05:26.998+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,15
2026-06-23T00:05:32.758+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,16
2026-06-23T00:05:33.991+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,17
2026-06-23T00:05:35.349+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,18
2026-06-23T00:05:37.038+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,19
2026-06-23T00:05:38.409+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,20
2026-06-23T00:05:43.722+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,21
2026-06-23T00:05:44.177+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,22
2026-06-23T00:05:45.451+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,23
2026-06-23T00:05:46.723+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,24
2026-06-23T00:05:48.603+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,25
2026-06-23T00:05:49.878+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,26
2026-06-23T00:05:51.140+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,27
2026-06-23T00:05:52.619+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,28
2026-06-23T00:05:53.953+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,29
2026-06-23T00:05:55.151+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,30
2026-06-23T00:05:57.127+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,31
2026-06-23T00:05:58.358+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,32
2026-06-23T00:05:59.639+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,33
2026-06-23T00:06:01.338+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,34
2026-06-23T00:06:02.637+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,35
2026-06-23T00:06:18.738+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,37
2026-06-23T00:06:19.958+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,38
2026-06-23T00:06:21.306+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,39
2026-06-23T00:06:23.137+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,40
2026-06-23T00:06:24.320+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,41
2026-06-23T00:06:25.593+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,42
2026-06-23T00:08:01.485+08:00,tangshan,唐山,24.0,34.0,1000.3,2.83,159.0,3,43
2026-06-23T00:08:02.745+08:00,tangshan,唐山,29.0,34.0,1000.3,2.83,159.0,3,44
